txn_id,policy_id,txn_date,gross_amount,fee_amount,fee_type,is_refund
T0000001,P001154,2025-12-27,9370.43,199.46,Ongoing,N
T0000002,P000084,2025-05-03,4093.9,70.11,Ongoing,N
T0000003,P000271,2025-12-20,2731.43,99.99,Ongoing,N
T0000004,P000244,2025-12-23,2914.86,45.55,Ongoing,N
T0000005,P000388,2024-06-17,-2885.23,-60.56,Ongoing,Y
T0000006,P000214,2025-01-22,11523.53,249.97,Ongoing,N
T0000007,P000818,2025-12-18,5586.92,46.92,Ongoing,N
T0000008,P001190,2025-12-30,2014.05,36.4,Ongoing,N
T0000009,P000059,2025-11-02,4017.01,73.25,Ongoing,N
T0000010,P000883,2025-08-24,4425.7,149.45,Ongoing,N
T0000011,P000843,2025-12-24,887.86,19.49,Ongoing,N
T0000012,P000924,2024-07-09,4199.79,68.11,Ongoing,N
T0000013,P000123,2025-08-16,8765.29,162.59,Ongoing,N
T0000014,P001437,2025-09-10,4402.37,85.1,Initial,N
T0000015,P001163,2025-12-21,6024.11,118.14,Initial,N
T0000016,P001253,2025-12-31,7241.69,212.0,Initial,N
T0000017,P001298,2024-11-25,3736.55,111.3,Initial,N
T0000018,P000439,2024-10-05,8818.47,89.0,Initial,N
T0000019,P001022,2025-04-16,15771.94,483.88,Ongoing,N
T0000020,P000562,2025-12-15,1452.31,39.96,Ongoing,N
T0000021,P000118,2024-12-24,3729.84,72.63,Ongoing,N
T0000022,P000905,2025-12-24,31688.02,166.69,Ongoing,N
T0000023,P000395,2025-03-04,5633.31,124.65,Ongoing,N
T0000024,P000876,2025-01-04,4779.63,78.68,Ongoing,N
T0000025,P001484,2025-05-04,3998.07,102.15,Ongoing,N
T0000026,P000935,2025-07-23,13623.45,360.56,Initial,N
T0000027,P001102,2024-10-04,2318.8,76.96,Initial,N
T0000028,P000952,2025-12-06,10310.72,96.8,Initial,N
T0000029,P001436,2025-09-30,3938.67,163.0,Ongoing,N
T0000030,P000075,2025-10-15,2697.62,78.1,Ongoing,N
T0000031,P000295,2025-12-01,4085.17,110.88,Ongoing,N
T0000032,P000021,2025-09-25,4735.75,185.47,Ongoing,N
T0000033,P001195,2025-09-14,3300.42,76.5,Ongoing,N
T0000034,P001039,2025-12-14,11970.71,363.15,Ongoing,N
T0000035,P001235,2025-12-30,2714.42,58.9,Initial,N
T0000036,P000560,2024-09-25,5497.56,156.18,Initial,N
T0000037,P001110,2025-03-28,-7554.86,-238.85,Ongoing,Y
T0000038,P001173,2025-06-05,5452.22,166.78,Initial,N
T0000039,P000372,2025-04-18,9115.98,44.49,Ongoing,N
T0000040,P000818,2025-12-09,3474.3,55.11,Initial,N
T0000041,P001175,2025-12-30,8087.72,256.53,Ongoing,N
T0000042,P001165,2024-08-03,8281.53,206.88,Initial,N
T0000043,P001093,2025-12-07,10662.58,207.98,Initial,N
T0000044,P001284,2025-12-04,1087.32,27.27,Ongoing,N
T0000045,P000846,2025-06-26,7385.23,66.19,Ongoing,N
T0000046,P000521,2025-12-13,10107.33,281.64,Ongoing,N
T0000047,P000371,2025-09-16,3536.29,83.86,Ongoing,N
T0000048,P001443,2025-12-08,3170.81,66.12,Ongoing,N
T0000049,P000101,2024-02-13,2804.27,51.07,Ongoing,N
T0000050,P000661,2025-12-24,2152.52,48.02,Ongoing,N
T0000051,P000968,2025-06-22,8371.66,144.47,Initial,N
T0000052,P000243,2025-12-31,30501.23,511.24,Initial,N
T0000053,P000753,2024-01-12,3150.08,119.35,Ongoing,N
T0000054,P000512,2025-09-08,3383.82,13.99,Ongoing,N
T0000055,P000849,2025-12-20,4975.68,21.6,Initial,N
T0000056,P000555,2025-12-02,1364.33,37.95,Initial,N
T0000057,P001119,2024-02-26,2817.38,21.98,Ongoing,N
T0000058,P000226,2025-02-15,4695.82,9.39,Ongoing,N
T0000059,P000214,2024-10-07,2403.92,72.46,Ongoing,N
T0000060,P000718,2024-06-03,12809.64,417.6,Ongoing,N
T0000061,P000067,2025-06-01,1745.76,12.08,Ongoing,N
T0000062,P000396,2024-10-17,10105.19,20.68,Ongoing,N
T0000063,P000612,2025-12-17,15911.57,124.3,Ongoing,N
T0000064,P001036,2025-11-18,6670.03,86.72,Ongoing,N
T0000065,P001261,2025-12-20,4402.99,172.33,Ongoing,N
T0000066,P000770,2025-12-08,5985.08,93.98,Ongoing,N
T0000067,P001423,2024-05-14,3454.9,97.84,Ongoing,N
T0000068,P000407,2025-11-23,964.05,26.24,Ongoing,N
T0000069,P000925,2025-05-22,2245.31,74.6,Initial,N
T0000070,P000647,2025-10-01,4871.01,66.93,Ongoing,N
T0000071,P000222,2025-05-29,2315.66,46.08,Initial,N
T0000072,P001180,2025-12-06,3531.58,62.89,Initial,N
T0000073,P000654,2024-03-11,7210.86,183.01,Ongoing,N
T0000074,P000428,2025-05-12,5519.37,177.5,Ongoing,N
T0000075,P001182,2024-05-29,11461.85,478.92,Initial,N
T0000076,P000977,2025-06-21,6218.81,100.08,Initial,N
T0000077,P001440,2025-12-29,6518.35,139.58,Ongoing,N
T0000078,P001006,2025-12-14,2779.9,79.69,Ongoing,N
T0000079,P001350,2025-12-14,1694.45,44.26,Initial,N
T0000080,P000371,2025-02-14,3532.15,131.22,Initial,N
T0000081,P001368,2025-05-18,2746.97,51.98,Ongoing,N
T0000082,P001286,2025-06-03,4300.93,68.93,Ongoing,N
T0000083,P001307,2025-02-22,2094.71,70.72,Initial,N
T0000084,P000850,2025-12-26,9643.03,222.08,Ongoing,N
T0000085,P000856,2025-12-25,2738.87,69.57,Ongoing,N
T0000086,P000229,2025-12-09,3673.81,70.81,Initial,N
T0000087,P000280,2025-05-12,4836.02,141.56,Initial,N
